index,attraction,location,blurb,url,description,tags
0,KGB Museum,"Tallinn, Estonia","""There's nothing there,"" and other lies the KGB told us.",https://www.atlasobscura.com/places/kgb-museum,"After the Soviets built Tallinn’s luxurious, but imposing, Hotel Viru in the 1970s, Estonians joked that the building was made of microconcrete, as in concrete and microphones. Few people were ever allowed on the hotel’s top floor, which the Soviet managers insisted contained only technical rooms. When the KGB fled the country in the early 1990s, the newly liberated Estonians discovered that the technical rooms housed elaborate, vintage James Bond-esque listening equipment. The hotel’s new owners kept the rooms exactly as the KGB left them. On the door of those technical rooms is now written “There’s nothing here” in both English and Estonian, which alludes to the official answer given when anyone asked what was behind the door. Visitors can take guided tours that focus not only on the more absurd elements of living in a surveillance state, but on the strange history of the hotel, which includes sex work, espionage, and some of the best chicken to be had during the occupation.  The museum itself is located on the top floor of Hotel Viru, but you may only access it via guided tours which begin in the hotel lobby.",secret museums secret crime crime and punishment collections museums and collections museums
1,Rummu Underwater Prison,"Rummu, Estonia",The ruins of an Estonian prison are drowning in the quarry lake where the convicts were once forced to work.,https://www.atlasobscura.com/places/rummu-underwater-prison,"It’s unlikely that those interred in this Soviet prison ever imagined that the quarry they were forced to work in would someday become a beautiful diving spot. But it’s a weird world, and time is long. The ruins of the abandoned prison camp outside the small Estonian town of Rummu were once a dreaded stone edifice, but are now a beach attraction. The prison was already established in the 1940s by the Soviet Union. It was built in a convenient location, on the lip of a limestone quarry in which the inmates were forced to toil. The seemingly impenetrable walls of the prison were not to last forever. When Estonia regained its independence in 1991, the Soviets moved out and many of their institutions fell, including the labor prison at Rummu. Both the prison and the quarry were abandoned in the changeover. Without anyone to look after the natural groundwater that seeped into the former quarry, it soon filled up with water, creating a new lake with alarming speed. It filled up so fast that many of the mining machines and even some of the buildings were swallowed whole by the rising waters. Today, some of the former prison can still be seen on land, as parts of the structure stick out from the crystal clear lake waters. The spot has become a prime location for divers and adventurous beachgoers who come for the sunken ruins beneath the waves.  The Rummu Prison is now open during summer as an adventure center with an entrance fee of 3€. Different activities such as snorkeling, paddleboarding, and canoeing to name a few.",underground week jails underwater prisons water ruins
2,Kaali Meteorite Crater Field,"Kaali, Estonia",Mysterious craters may have been home to an ancient cult.,https://www.atlasobscura.com/places/kaali-meteorite-crater-field,"Kaali, on the Estonian island of Saaremaa, is the site of the last giant meteorite impact to occur in a densely populated region. The landscape that the collision left in its aftermath has been the subject of many mythological tales and may have been home to a mysterious ancient cult. About 7,500 years ago, a huge rock from space came hurtling toward the Earth. Several kilometers above the Earth’s surface, the meteorite broke into pieces from the pressure and heat of the atmosphere. The resulting chunks collided into Saaremaa with the force of a small nuclear bomb, wreaking havoc on the landscape and possibly claiming numerous victims. The explosion left nine total craters, now known as the Kaali Meteorite Crater Field. Some of these craters are quite small: one measures only twelve meters across and one meter deep. But the most interesting of the group is the largest crater, a gently sloping bowl filled with stagnant, murky water. Simply known as Kaali crater, the largest crater (which measures 110 meters across) is believed to have been a sacred site for many centuries, in part due to its cosmic origin. Surrounding Kaali crater are the remains of an immense stone wall from the Late Bronze Age, stronger than any similar structures in the region and providing clues to the crater’s use by ancient peoples. Archaeologists believe it is possible that the wall served as a stronghold for an ancient cult settlement. As evidenced by the unusually large quantity of animal bones found within the wall’s borders, the Kaali crater lake was not only a watering place but also a place of sacrifice. While it is known that Estonians have made live offerings in the past (for good harvests and other reasons), one curious aspect of the site’s animal remains is that some date back only to the 1600s, long after the Church forbade such rituals. Some even believe that ancient offerings still remain undiscovered at the bottom of the six-meter-deep Kaali lake. However, deposits of oak trees in the water have prevented scientists from probing beyond four meters below the surface. Whatever the case may be, Kaali is a site of indisputable importance, historically and scientifically speaking. The experience doesn’t end at the crater field. There is even a Kaali Meteor Museum and Hotel—in case you want to stay for another day among ancient cult ruins and the evidence of terrifying destruction. Kaali Visitor Centre is in Kaali meteorite field. It is about 3 km from Kuivastu on the Kuressaare road 18 km from Kuressaare and 62 km from Kuivastu. Regular local buses stop in Kaali Village several times a day.",ancient cults cults meteorites strange science disaster areas ruins
3,Linnahall,"Tallinn, Estonia",An empty relic of the Moscow Olympics crumbles away in Estonia's capital.,https://www.atlasobscura.com/places/linnahall,"When Moscow hosted the 1980 Summer Olympics, the sailing events were held in Soviet-occupied Estonia. Linnahall, originally called the “V. I. Lenin Palace of Culture and Sport,” is a sprawling ziggurat-like complex designed to host the Olympic regatta. Today, it’s all but abandoned, and mostly visited by graffiti artists and curious tourists. The structure was commissioned by the Soviet Union in part to show the world their mastery over concrete-pouring. In addition to its massive 5,000 seat amphitheater, it includes an ice hall, a small seaport, and a heliport. The ice hall closed in 2009, and the concert hall in 2010. The hurried construction of the building has begun to show over the past 30 years as the poorly finished rock crumbles. The arena is still used from time to time when a large enough event comes to the country, but generally, the huge structure sits empty. Locals and tourists still enjoy taking the external steps up to the roof of the hall, which provides a rather stunning view of Tallinn’s skyline. As many important buildings in the Soviet Union, the design of Linnahall was planned to be also useful during wartime. The location by the sea and the flat roofs made it a perfect spot for tanks or cannons to cover the whole bay of Tallinn, in case the “evil” Finns would want to conquer the city. In 2019 the City of Tallinn announced plans to transform the structure into a conference center, including an opera and concert hall.  As of 2019, most of the structure is blocked off by safety fences. The rooftop, with its magnificent view, is the only part of the building that can be visited.",abandoned architectural oddities architecture
4,Ichthus Art Gallery,"Tallinn, Estonia",A secluded art gallery hidden within the cellars beneath Tallinn’s medieval monastery.,https://www.atlasobscura.com/places/ichthus-art-gallery,"When wandering around Tallinn, Estonia, you’re bound to find little alcoves, tiny courtyards, and winding streets that make you feel as though you’ve stepped back in time. Saint Catherine’s Dominican Monastery, one of the oldest buildings in the city, is one such place. But upon closer inspection, it becomes evident there are two things for visitors to explore at the medieval site, not just one. You can choose to go up the stairs to the left and enter the main part of the monastery where the monks lived. Or, you can decide to head to the right where an open iron gate and wooden doors lead to a steep staircase that, despite descending into a deep gloom, somehow still looks promising. At the bottom of this staircase, beneath the interior courtyard, you can find a display with an old book of photos and writing that offers a tidbit of the history of the Dominican monks. The room opens into a series of connected cellars where monks worked from 1246 to 1524. There’s an enormous fireplace in one part, and if you follow the narrow hallways back deeper into the rooms, you’ll discover a small, blocked off stairway (maybe a shortcut?) up to the surface. There is also a nice sitting area under an alcove. These ancient underground rooms hold original works of art for sale by the the man who currently rents the space, an artist named Aleksandr Savchenkov. The artist is usually in the small gallery, called Ichthus Art Gallery, constructing new pieces while the occasional visitor mills about among the watercolor paintings and Savchenkov’s for-sale work, to a muted soundtrack of Latin chants playing from a discreet CD player.  There is a donation box underneath the map of the monastery. They request a donation but no amount is set.",gallery monks books medieval art history
5,Pähni Megaphones,"Varstu Parish, Estonia",A trio of giant wooden megaphones turn up nature's volume in this Estonian forest.,https://www.atlasobscura.com/places/pahni-megaphones,"Anyone who is sick and tired of the peace and quiet afforded by the solitude of nature should head over to Estonia’s Võru county forest and take a listen through the giant wooden microphones found in their clearing. These wooden tubes were installed in a clearing deep within the Estonian forest by a group of interior architecture students. Since the region is known for its natural beauty, they decided to create the over-sized amplifiers to enhance the sounds of the waving trees and birds singing. The project was named RUUP. Installed far from any homes or other signs of civilization, the cones have nothing to pick up but the natural sounds emanating from the flora and fauna all around. In addition to pumping up the scenic volume, the megaphones are large enough to climb inside and sit or lay down. In fact when the project was finally complete, musicians came and played music while seated right in the funnels. It is pretty hard to improve on nature, but increasing the decibels seems to be pretty effective. Each of the three megaphones is even placed so that were you to stand in the middle of their directional cones, it could in theory have a 3D effect on the sounds. In reality it is really difficult to tell as the forest overwhelms you.",sounds natural wonders nature art
6,Tuhala Witch's Well,"Kose Parish, Estonia","This disappearing geyser has been attributed to witchcraft, but really it's all about rainfall.",https://www.atlasobscura.com/places/tuhala-witchs-well,"Located in the tiny village of Tuhala, the Witch’s Well is a naturally occurring geyser that has been known to flood the entire area after heavy rains. Clearly the work of witches. The Witch’s Well is actually an example of what is known as a “karst spring.” The opening from which the spring issues is located over an underground river, which is normally located far enough underground that it isn’t a problem. But after extremely heavy rains, the river tends to swell up and issue forth from the well, completely flooding the surrounding area. The geyser effect can last for days, making for a major disaster for those effected by the flooding. In olden times, this pandemonium was not seen as simply an unfortunate natural occurence, but was instead blamed on those perennial villains, witches. According to the local lore, witches would gather down in the well and lash each other with branches. This pagan reverie was thought to cause the catastrophic flooding that came periodically came from the well. Unfortunately, it was just nature. The well does not flood each time it rains, but just occasionally. It is often years between each flooding, so when it occurs, people now come from all around to check it out. A wooden cap has been placed over the natural hole, so even though it can be damaging, the Witch’s Well certainly looks like it has caged a witch inside of its depths.",wells witches water
7,Seaplane Harbour,"Tallinn, Estonia",Disused seaplane hangar gets a second life as the jaw-dropping home of Estonia's museum of maritime history.,https://www.atlasobscura.com/places/seaplane-harbour,"Completed in 1917 as part of Peter the Great’s naval fortress, the Tallinn seaplane hangars were unique in their day for both their size and technology. The building was among the first reinforced concrete shell structures realized at such an enormous magnitude, measuring in at a whopping 39-by-109 meters. Only over the course of the next decade or so would analogous structures begin to crop up in rest of the world, particularly during the aviation boom of the 1930s. Back in Estonia, the 1920s and 1930s found the Seaplane Harbor serving as a holiday resort for the Estonian air force unit, providing an athletics hall as well as a tennis court under the hangars. After the Second World War, the hangars were taken over by the Soviet Army. They lost their importance, were neglected and mainly used as warehouses and wood shops. When Soviet forces left and their assets were taken over by the Estonian government, the hangars were at the center of judicial dispute for a decade. Throughout this time, the building went unmaintained, and the general public was left wondering what was going on inside. Only in 2006 did the government obtain ownership of the property again, at which point it invested in the renovations and restoration necessary to save the building from further decay. Currently the former hangars have been repurposed as the jaw-dropping home of the Estonian Maritime Museum’s collection. The museum’s exhibit includes the oldest shipwrecks found in Estonia, an explorable submarine called “Lembit” and a full size replica of a British seaplane, as well as a myriad of other related historic paraphernalia unique to the region. The real star here, though, is the old seaplane hangar itself; sound and light design create a surreal effect of feeling as if one is underwater, with waves lapping at the ceiling. Periodically a light show of planes traverses the big concrete domes.  Seaplane Harbour17 Küti Street / 6 Vesilennuki Street10415 Tallinn, Estonia",aviation museums and collections museums
8,Ungru Manor,"Ridala Parish, Estonia",The gutted remains of this Estonian mansion are a monument to a tragic love.,https://www.atlasobscura.com/places/ungru-manor,"While it’s hard to see this in its current, dilapidated state, but at one point, Ungru Manor was the finest neo-baroque mansion in all of Estonia. But after it was stripped of materials to help build a nearby runway it is is simply a rotting husk, surrounded by a sad love story that never happened. Created as a near-perfect copy of Merseburg Castle in Halle, Germany, the manor that remains today was built in the 1890s on the site of a manor that had been there since the 1500s. As the story goes, the son of Ungru’s owner visited Merseberg Castle and fell in love with the princess there. He proposed, but the princess was so fond of her father’s castle, she claimed that she was going to stay there forever, so the son returned home and vowed to recreate the German castle for her. He went back to Estonia and began construction, building out most of the structure including most of the exterior and its 11 gables. However before the interior could be finished, word came that the princess had died. The son himself died not long after in 1908. The house was left incomplete and without an owner. The tragic monument sat empty and was slowly pillaged for valuables and materials by local scavengers. During Soviet rule of Estonia, an airfield for fighter jets was constructed nearby and the builders used the mansion as a source of raw materials. Today, the airfield is equally abandoned. Luckily, what remains of the estate is now protected from further destruction, so the site is not completely lost to history. The gutted remains are visible from a nearby highway and interested explorers can still visit them should the tragic origin fail to break their heart and cancel the trip.",eccentric homes castles homes abandoned ruins
9,Telliskivi Creative City,"Tallinn, Estonia",Estonia's largest creative city is a vibrant bohemian hub located within a former industrial complex.,https://www.atlasobscura.com/places/telliskivi-creative-city,"The Telliskivi Creative City is Estonia’s largest creative center. Though it’s about a 15 minute walk from the historic Old Town, it’s worth the slight detour to wander through and see what the thriving artistic community has to offer. The creative city, which consists of 10 buildings that hold over 200 businesses and organizations, has an easygoing bohemian vibe. Each individual business is at liberty to design its space as it sees fit. The eclectic array of mismatched décor creates a vibrant, artistic atmosphere. You don’t have to go to Telliskivi to do something particular—it’s a lovely spot just to kill some free time. It’s a perfect place for hanging out and meeting locals. There are many restaurants, cafes, and shops for different budgets and tastes. There’s also a yoga studio, a concert hall, and even a massage studio. It’s also the place where many events are held. On Saturdays, Telliskivi hosts the biggest flea market in Tallinn, where you can spend hours browsing through selections of artwork, antiques, and oddities. There’s also a massive annual food festival that draws in thousands of people. Telliskivi allowed Tallinn’s artists and free spirits to reclaim a neglected part of their city. The Telliskivi Creative City breathed new life into a drab former factory complex that originally popped up around the old Baltic Railway tracks. Go there by tram number 1 or 2 and hop off at ""Telliskivi."" Or, you can just walk there from old town. It's only a 10 minute walk.",markets cities industrial art
