index,attraction,location,blurb,url,description,tags
0,Afghanistan's Blue Mosque,"Mazari Sharif, Afghanistan",This magnificent blue mosque in Afghanistan is surrounded by thousands of white doves.,https://www.atlasobscura.com/places/blue-mosque-afghanistan,"The Blue Mosque has been described as an oasis for peace, and it really does seem like it, considering the thousands of white doves surrounding the mosque. The doves flock on the trees, the roof, and the sidewalks. Legend has it the mosque is so sacred that any dove with a speck of color on its feathers will instantly become pure white after entering the mosque’s vicinity. According to legend, a Middle Eastern mullah (scholar of Islam) had a dream that Ali bin Abi Talib, the son-in-law and cousin of the prophet Muhammad, had his bones resting in what is now northwestern Afghanistan. Captivated by his story, Ahmad Sanjar, who was the Sultan of the Seljuq Empire from 1118 to 1157, constructed the Shrine of Ali in northwestern Afghanistan. He even constructed a city around the shrine, called Mazar-i-Sharif, to which thousands of religious Muslims migrated. Unfortunately, a century after the shrine was built, Genghis Khan made his westward push. When he reached Mazar-i-Sharif, Khan completely destroyed the shrine. But it wasn’t gone for long. In 1481, Sultan Husayn Mizra rebuilt the Shrine of Ali in an even grander fashion, in the form of a giant blue mosque which still exists to this day. When you look at it, the structure appears to be floating, a trick of Islamic architecture, which uses intricately painted clay tiles. The tiles constantly need to be replaced — two square feet every day — from exposure to the natural elements and because the corners of certain tiles are often stolen by pilgrims as religious mementos. The Blue Mosque offers a tranquil escape from the hustle and bustle of Mazar-i-Sharif’s streets and bazaars. It is consistently quiet, except for when the muezzin makes one of the daily calls for prayer.",
1,Site of the Bamiyan Buddhas,"Bamyan, Afghanistan","Once an impressive link to Afghanistan’s Buddhist past, now a sad reminder of intolerance towards other cultures.",https://www.atlasobscura.com/places/site-bamiyan-buddhas,"Few man-made destructions of cultural heritage have been blatant as the bombing of the Bamiyan Buddhas by the Taliban in 2001. Prior to the destruction, the Giant Buddhas had already been worn down from decades of war and neglect, but it only took a few minutes to wipe out the remnants of Afghanistan’s most majestic pre-Islamic site. Since their creation in the 6th century, the Bamiyan Buddhas have been the largest Buddha statues west of China, and rose majestically out of the otherwise featureless plains of Central Afghanistan. There were two main statues, 53 and 35 meters high respectively, that portrayed a Vairocana Buddha and a Shakyamuni Buddha. A number of smaller Buddha statues adorned the surrounding area. Surrounding the statues were also several undecorated monastic cells, which had been, just as the Giant Buddhas, hewn into the cliffs. Immediately after the hottest stage of the war against the Taliban in 2002, first steps of reconstructing the Buddhas were made, and the entire area has been thoroughly researched, tagged and mapped for the reconstruction. During this process a number of brightly painted Buddhist caves were rediscovered. In 2008, a previously unknown 19 meter long statue of a Reclining Buddha was uncovered during the search for a semi-mythological 300 meter long Reclining Giant Buddha that is reputedly hidden in the region. The 300 meter long Buddha was mentioned by a Chinese monk in the 7th century, and given his detailed description of the two standing Buddhas, historians did not entirely dismiss his remarks on the third. If this statue truly existed and was rediscovered, it would be by far the largest Buddha statue in the world. When the Taliban decided to destroy the Buddhas, it caused an outcry from the international community. Several countries tried to prevent the Taliban from destroying the Buddhas by various offerings, such as buying the statues and relocating them to another country. But since the Taliban were not willing to consider these propositions, the world had to helplessly witness the bombardment of the ancient colossals. Given the worsening of the security situation in the country within the last few years, it does not seem likely that the Giant Buddhas are to be rebuilt anytime soon. Even UNESCO shattered hopes that the reconstruction of the once world-famous World Heritage Site would take place in the near future, stating that it would likely be a long-term project. Thus, the bare rock niches, which once held the Giant Buddhas, will for now continue to serve as a stark reminder of the ignorance toward other cultures and the loss of an important survivor of Afghanistan’s pre-Islamic history.",
2,Stupa of Takht-e Rostam,"Aybak, Afghanistan",Highly unusual subterranean stupa and adjacent cave monastery.,https://www.atlasobscura.com/places/stupa-takhte-rostam,"There are places in the world so strongly devoted to a particular religion that it is incredibly hard to believe that they have been shaped by any other faith. Afghanistan is one of those places, a country so devoutly Islamic that it seems that Islam has been around since the beginning of time - However before the advent of Islam, Afghanistan was an important center of Buddhist teaching. To find remnants of this Buddhist past, one has to search extremely thoroughly. The once rich excavation sites have turned to rubble after decades of war and neglect, the museum collections have been looted or irreparably damaged, and the Bamiyan Buddhas – once the country’s strongest reminder of its Buddhist past – were destroyed by the Taliban in 2001. Since the destruction of the Bamiyan Buddhas, the Stupa of Takht-e Rostam in Samangan Province is arguably Afghanistan’s most impressive pre-Islamic site. Unlike other stupas, the one of Takht-e Rostam has not been mounted above ground, but it has been carved into the ground, in a style that resembles the monolithic churches of Ethiopia. At the top of the stupa is a stone-carved Harmika building, which once held relics of the Buddha. The trench surrounding the stupa is around eight meters deep. A path leads down to the bottom of the trench, where Buddhist monks once clockwise circumnavigated the stupa. Carved inside the outer walls of the trench is a Buddhist monastery with five individual caves and several monastic cells for meditation. Small holes in the roofs allow a little daylight to enter the caves, creating a peaceful atmosphere of twilight. The cave monastery is lacking any decorative elements, but is impressive for its sheer engineering feat. Historians have proposed two possible reasons, as to why the stupa has been carved in the ground, instead of being built above ground. One explanation is that it could have been done for the purpose of camouflage to protect the monastery from invaders. Another much more mundane explanation states that it has simply been done to escape the excessive climate extremes of Afghanistan. The Afghan name Takht-e Rostam (Throne of Rostam) refers to a legendary figure in Persian culture. After the Islamization of Afghanistan, when the knowledge of the original purpose of the stupa became lost, the site became known as the place where Rostam supposedly married his bride Tahmina. The ruins are located up the hill 3 km southwest above the town of Samangan.",
3,Band-e Amir Lakes,"Yakawlang, Afghanistan",Splashes of blue in an otherwise monotonous lunar landscape.,https://www.atlasobscura.com/places/band-e-amir-lakes,"The lakes of Band-e Amir are an incredibly stunning sight. Six deep blue lakes suddenly appear like sparkling jewels in the middle of the barren grey wasteland of Central Afghanistan that stretches as far the eye can see. The lakes’ waters are composed of a high mineral content, which is responsible for the deep blue colour of the lakes. Travertine walls between and around the lakes have created natural dams, that store the rainwater, which flows from the cracks and fissures of the surrounding rocks. Around the shore of the lake Band-e Haibat the travertine walls reach a height of twelve meters, creating an otherworldy effect of some sort of natural infinity pool. The overspilling water of the lake creates small waterfalls along the outer rim of the travertine walls. According to local legend, the lakes were formed as the result of a series of miracles performed by Ali, son-in-law of the Prophet Mohammed, which left the local king so amazed that he immediately decided to convert to Islam. A shrine to Ali to honour his miraculous works stands on the shore of one of the lakes. If one day the tourism industry in Afghanistan gets going, the Band-e Amir lakes are likely to become the country’s prime tourist attraction. Even today, the lakes are a favorite destination for day trips, and they exude an often joyful and almost festive atmosphere – a rarity in Afghanistan, which makes the lakes popular among locals and expats alike. This atmosphere at the lakes is a unique reminder of the days when Afghanistan was firmly placed on the tourist map, as the country was part of the famous Hippie Trail from Istanbul to Northern India. In 2009, the country’s first national park was created around the vicinity of the lakes. While still open to visitors, there is harsh terrain, mined unpaved roads, and no real basic facilities. Only a thin track of road is safe to travel on, so adventure wisely.",
4,Herat National Museum,"Herat, Afghanistan","Despite a history of destruction, this former citadel survives to document Afghanistan's oft overlooked history.",https://www.atlasobscura.com/places/herat-national-museum,"No one knows Herat’s exact age, but it was most likely founded as an outpost of the Achaemenid Empire (550-330BC) and named Aria. Alexander the Great’s army overran the Persians, and changed the name to Alexandria-of-the-Arians. On a strategic hill in the center of town sits the restored ruins of Qala Iktyaruddin (Persian: قلعه اختیارالدین‎): the Citadel of Herat (Persian: ارگ هرات‎, Pashto: سکندرۍ کلا). In 330 BCE it was also known as the Citadel of Alexander, and it is quite likely the oldest building in the city. It was destroyed by Genghis Khan’s Mongol army in 1221 CE, and then rebuilt in its present form by the Kart Governor Malik Fakhruddin in 1305 CE, only to be destroyed again by Tamerlane in 1380 CE. Tamerlane’s son, Shah Rukh, used 7,000 men to embellish the walls and repair the damage wrought by his father. It then became the heart of the Timurid Empire (1405-1506). In more recent times it has served as a military garrison and prison for various dynasties and regimes and was thus closed to visitors from the outside world until 2005 when the Afghan Army presented it to the Ministry of Information, Culture, and Tourism. Between 2006 and 2011 the Aga Khan Trust, with grants from the USA and Germany, completely restored the structure. The National Museum of Herat is housed in the lower Citadel. The Museum of Islamic Art in Berlin worked with the German Archaeological Institute to document and restore artifacts and prepare them for display. The museum was opened to the public in October of 2011. There are about 1,100 items from the Herat region in the museum, of which there are about 250 on display. Most are from the 10th to 13th centuries when Herat was at the height of its political and cultural significance. There is pottery, metal work, the tombstone of Behzad, the famous painter of Persian miniatures, old manuscripts and books and a cenotaph adorned with tiles that date from 1378. The collection includes old muskets and cannon, and very curious three-dimensional replicas of some of Behzad’s most famous miniatures. The museum has long, well-lit, archways and arcades of brown brick. Though smaller than the Kabul Museum, the setting feels more architecturally unique, and it is in keeping with the restoration of the Citadel as a whole. Even though Herat is one of the safest cities in Afghanistan, it is still probably not advisable for the average Central Asian tourist to include it on their itinerary. Only those already well experienced with the delicate intricacies of Afghan travel should even attempt a visit until the tourism infrastructure has been somewhat restored.",The Citadel of Herat sits on a quite visible hill within the walls of the old city.
5,OMAR Mine Museum,"Kabul, Afghanistan",A sobering museum dedicated to landmines and the personnel working to remove them from Afghanistan.,https://www.atlasobscura.com/places/omar-mine-museum,"The OMAR Mine Museum in Kabul displays 51 of the 53 types of landmines used in Afghanistan. It also houses a variety of other military hardware from wars fought in the country in recent decades. Afghanistan is one of the most heavily mined countries in the world. Most of the mines’ victims are innocent civilians. Tragically, the buried weapons claim the lives of far too many curious children. The Organization for Mine Clearance and Afghan Rehabilitation (OMAR) was formed in 1990 to help combat the issue. Its team of about 500 people performs the rather stressful job of removing landmines from the earth within Afghanistan. A plain white brick building in Kabul houses their findings. Besides landmines, the museum also holds cluster bombs, rockets, unexploded ordnance, and airdrop bombs. There are even Russian “butterfly” mines, which children often mistook for plastic toys because they were made in a wide range of vibrant colors. The grounds surrounding the museum contain an interesting collection of rockets, surface-to air-missiles, and aircraft including helicopter gunships and an MiG fighter. If the museum isn’t a sobering enough experience, a memorial plaque inside honors the bravery of those who’ve died removing landmines in the area.",Due to security reasons you cannot visit this museum without an appointment but this can be arranged through the main OMAR office in Kabul. There is a hefty charge of around $20 for photography but presumably it helps toward landmine clearance.
6,Darul Aman Palace,"Kabul, Afghanistan",What was once supposed to be the symbol of a shining Afghan future is now a bombed-out ruin.,https://www.atlasobscura.com/places/darul-aman-palace,"Darul Aman, “the dwelling-place of peace,” sits in ruins outside Kabul, Afghanistan, a crumbling symbol of what was once supposed to be the modern future of the country. Amanullah Khan, ruler of Afghanistan between 1919 and 1929, ordered the construction of the impressive structure, intending the palace to be the centerpiece of a new capital city in the country.  The city was to be a gleaming, European-style settlement, rising up from the plains with the palace as the crown jewel. Needless to say, the city was never built and the palace never came into its own. The conservative rulers who deposed Amanullah Khan scorned his plans and his reforms, leaving Darul Aman to rot. Set on fire in the 1970’s, shelled by mujahideen in the 1990’s, and targeted by the Taliban in 2012, the palace, once a symbol of optimism and change, was repeatedly brutalized. Still standing today, Darul Aman is now a crumbling ruin. A plan to restore it has so far come to nothing but its walls still contain the last century of Afghan history: the grandeur of its ambitions, the depth of its bloodshed and violence, an ultimately a monument to the improbable resilience of hope.",
7,Chilzina and the Forty Steps of Kandahar,"Kandahar, Afghanistan","Rock-cut chamber at top of an outcroup, reached by a mountain stairway of forty steps.",https://www.atlasobscura.com/places/forty-steps-kandahar-chilzina,"Sometimes, simplicity speaks volumes. A short tower can seem imposing on a featureless plain. A tiny word can say a lot if it’s on a blank wall. And 40 simple steps can tell a complex story of perseverance and dominance, if they’re carved into the mountainside leading to its peak. That’s the scene at Chilzina, otherwise known as the “Forty Steps of Kandahar.” Carved into a mountain peak at the western boundary of what was “Old Kandahar” (conveniently located in the same place as the current Kandahar), this monument was an imposing symbol etched upon the natural defense formed by Kandahar’s western mountains. And the man who put them there knew exactly what he was doing. Babur was the first emperor of the Mughal Empire, and he did not come by that title lightly. He literally bent the world before him to his will, conquering much of central Asia and the Indian subcontinent to form his empire and expand the influence of his Persian culture. A descendant of both Timur and Ghenghis Khan, Babur wanted people to know his name as well. Thus at Chilzina, he carved a staircase into a mountain and hollowed out an enclave for recording his history. Into the wall of that enclave, Babur carved the story of his conquests in the Mughal Empire in Persian for all to see. He then carved statues of two lions, chained, at the top of the stairs, guarding the entrance to the enclave. While the staircase is impressive indeed and the inscription is the point of it all, the lions remain the best example of his legacy. Because they were chained, even these guardians, shaped purposefully and painstakingly out of bare stone, signified his power and control over them, there at his service, just as he saw the world around him.",
8,Marjan the Lion Memorial,"Kabul, Afghanistan",This monument honors the life of a long-suffering lion whose story captivated the world.,https://www.atlasobscura.com/places/marjan-the-lion-memorial,"Before the mid-1990s civil war in Afghanistan, the Kabul Zoo housed many exotic animals. Unfortunately, most were killed or escaped during the fighting. But some remained in captivity, in dire conditions, throughout the surrounding conflicts. The zoo’s most celebrated former resident was Marjan the lion (“marjan” means “coral” in Persian). There are multiple claims about his age—some say he was born in the ‘60s, other reports claim the ‘70s. The Cologne Zoo donated him to the Kabul Zoo, the kingdom he shared for the majority of his life with a lioness named Chucha. Marjan’s story is not a happy one. In 1995, a man (some say a guerilla soldier) either attempting to prove his bravery or for a bet, climbed into Marjan’s enclosure. Although Chucha permitted the man to stroke her, Marjan was not so tolerant of the intrusion and pounced upon the man, subsequently mauling him to death. The following day, the brother of the dead man exacted his revenge by throwing hand grenades at Marjan, who instinctively jumped on one of them. The resulting blast left the lion lame, blind, deaf, and with half his teeth blown out. Despite his injuries, the cat survived and lived for another seven years—unlike the grenade-thrower, who was attacked and killed for his actions a week later. Marjan’s story captivated animal lovers around the world. Even as the warfare drove most people from Kabul and brought peril to every day within the city, dedicated caretakers did all they could to ensure the lion remained fed and comfortable until he died of old age in 2002. Marjan is buried in Kabul Zoo, where a bronze memorial statue of him has been placed at the entrance. The lion has come to symbolize Afghanistan’s survival throughout its decades of hardships. An inscription on the memorial reads “Here lies Marjan, who was about 23. He was the most famous lion in the world.”",
9,Minaret of Jam,"Shahrak, Afghanistan",200-foot-high minaret and only remnant of Afghanistan's lost city of the Turquoise Mountain.,https://www.atlasobscura.com/places/lonely-minarete-of-jam,"For the last three decades, almost constant conflict has colored the world’s perceptions of Afghanistan, and an inhospitable climate and frightening political instability have left Afghanistan on few traveler’s itineraries. But before the war-torn reality of the country today, societies flourished, and left behind traces of their greatness. The minaret of Jam is one of these legacies. Built in the late 12th century, the minaret was once connected to a great mosque along the riverbank, and evidence of the building and a massive courtyard have also been found near the site. Some scholars have suggested that the minaret is the only remaining structure from the lost city of the Turquoise Mountain, one of the greatest urban civilizations of its time, and a bastion of tolerance, where all religions were accepted. The rest of the lost city perished during Mongol invasions in the 1220s possibly leaving behind only the minaret. Besides the semi-miracle of its survival, the minaret is an incredible work of architecture. Extending 213 feet into the air, the minaret is made completely of tan baked bricks and is intricately carved with Koranic inscriptions of multiple colors. In 2002, the minaret was nominated as a UNESCO World Heritage Site, one of only two in all of Afghanistan. After staying intact for 1000 years, the minaret still faces threats from war, and the harsh climate of Afghanistan. The minaret of Jam is also currently listed as a site in danger, and many fear that another harsh winter, or earthquake could topple the only legacy of the city of Turquoise Mountain.",
