index,attraction,location,blurb,url,description,tags
0,The Swallow's Nest,"Haspra, Crimea",A castle perched precariously over the Crimean Sea.,https://www.atlasobscura.com/places/the-swallows-nest-haspra-crimea,"Perched on the edge of the Crimean Sea is not perhaps where one would look to find a Neo-Gothic castle. However, the Swallow’s Nest proves the exception to the rule. Constructed on the top of the Aurora cliff overlooking the sea, outside of the town of Gaspra, it stands as a curious remnant of Imperial Russia. The original structure on the property was a small wooden cottage that was constructed at the behest of a Russian General around 1895. However, several years later the cottage was placed in the ownership of A.K. Tobin, a physician at the Imperial Court and doctor to the Tsar. The cottage again changed hands, this time being purchased by Baron von Stiengel who demolished the original cottage and replaced it with the Neo-Gothic manor that still stands to this day. Although it is classified architecturally as a castle, it is not a castle in the truest sense of the word. It was not built to house and protect its occupants, with the turrets and battlements being more for show than any practical application. When one first looks at the Swallow’s Nest it is hard not to marvel at the simple physics of the structure. It is built literally on the edge of the cliff with parts of the balconies and patios actually extending beyond the rock face, jutting into thin air. The whole building looks as though it could at a moment’s notice topple over into the Crimean Sea. This being said, the Swallow’s Nest has survived a large earthquake (6-7 on the Richter scale) that struck the region in 1927. Although the building itself was not badly damaged the underlying rock was. The cliff itself developed a large vertical crack as a result of the quake and the Swallow’s Nest was closed for more than four decades because it was deemed structurally unsafe. In 1968, renovations began on the building in an attempt to make it habitable—or at least visitable. Engineers inserted a large concrete plate into the cliff that helped shore up the crack that was left by the quake. In 1975 an Italian restaurant opened in the castle and has operated on its premises ever since. Because of its inspiring location the castle was used in the exterior shots of multiple Soviet films.",cliffs eccentric homes castles homes architecture
1,Eski-Kermen Cave Town,"Bakhchisaray, Crimea","One of the cave cities of Crimea, built by the Goths in the sixth century.",https://www.atlasobscura.com/places/eskikermen-cave-town,"The cave towns of Crimea are a series of naturally formed limestone caves that were expanded and strengthened for use as dwellings and fortresses during the Middle Ages by various tribal groups. Located in the southwest corner of Crimea, these cave cities are a fascinating example of the local population creatively repurposing what nature supplies into something unique and useful. Eski-Kermen is one of the earliest inhabited of the various cave towns that are scattered throughout the area. Sitting atop one side of a double mesa separated by a 500-foot-wide valley, Eski-Kermen began life as a Byzantine boundary fortress in the 6th century, manned by the Goths. They built extensive fortifications, including a town gate carved right into the bedrock, a siege wall, tunnels, hidden staircases, grain storage pits, and an underground gallery where water was gathered from a natural spring. During this time, Eski-Kermen held a dominant position in the economic life of nearby settlements, serving as a trade hub. At its peak, more than 350 caves were used for habitation, livestock housing, craft workshops, and other storage. Some of them had wooden or tiled flooring or balconies and wooden piping for water. Eski-Kermen was then held by the Khazars from the 8th century up to the 13th century. For reasons unknown, they demolished much of the defensive infrastructure from the 10th century onward. After the Mongols ravaged Crimea in the 14th century, the cave town system collapsed and they were rarely inhabited again. The great thing about visiting here now is you can see it all and walk right through the whole complex. It takes a bit of effort as the paths ascend steeply from the valley floor, but with some sweat and strain, you are soon rewarded with sweeping views of the surrounding mesas, valleys, and canyons. Watch your step and take your time to explore the fascinating archaeological oddity of Eski-Kermen.  Eski-Kermen is located about 9 miles (14km) south of Bakhchisaray in Crimea. Other cave towns in the area include Chufut-Kale, Tepe-Kermen, and Kyz-Kule.",medieval caves ecosystems history
2,Glade of Fairy Tales,"Yalta, Crimea","Over 300 wood sculptures depicting characters from Slavic, Greek and Western folk tales fill this magical garden.",https://www.atlasobscura.com/places/glade-of-fairy-tales,"Located in the Ukrainian resort city of Yalta, the Glade of Fairy Tales is an open air museum full of hand-carved totems inspired by traditional folktales and stories, well living up to its whimsical name. Founded in 1960 by woodcarver and artist Pavel Bezrukov, the Glade of Fairy Tales has grown in popularity to become one of Yalta’s premier attractions. After having been kicked off by Bezrukov, the project continued to grow and now contains works by dozens of different artists. The styles range widely from the brutally totemic depiction of knights to 3D renderings of Disney’s Seven Dwarves. The only connecting element is that they all represent fairy tales or folk tales, most of which are uniquely culturally specific. Other figures in the park include Baba Yaga and her chicken-legged house, the mythical Russian folk hero Svyatogor, Teremok the magical house-in-the-woods, and dozens of other pagan gods and legendary creatures. Throughout the popular park there are over 300 different carvings. Some are brightly painted, while others have been left unvarnished, but all of them seem pretty magical. To Western eyes, many Russian folk tales are seem a bit dark or strange, and even in the Glade, they can still seem a bit foreboding. But placing them in an actual enchanted garden helps to bring out some of the magic.",fairytales gardens plants statues
3,Underwater Museum at Cape Tarkhankut,"Olenivka, Crimea",Submerged busts of communist and socialist figures from the USSR.,https://www.atlasobscura.com/places/underwater-museum-at-cape-tarkhankut,"Organized more than 15 years ago, this museum boasts a collection of busts of communist leaders and the heads of socialism throughout the history of the USSR — lined up on stone shelves and racks and buried underwater. It’s without an official website of its own and without a lot of documentation, but the underwater museum at Cape Tarkhankut is considered a must-see attraction in Crimea. The organizers of the underwater museum are always open to adding new figures to the collection, which currently has more than 50 different busts. The busts are known as the Alley of Leaders. Known as a romantic and mysterious place, Cape Tarkhankut is at the western end of the Crimean peninsula. Here, a hot and humid steppe fades into the Black Sea and fresh springs erupt from the bottom of the salty waters. It is at this point that the summers are hot and dry, the days warm and windy, and the nights cool an quiet. It is at this point that the sea is crystal clear, drawing in tourists from all over the world. With the sea as clean and clear as it is here, underwater visibility can often exceed 30 feet, making the Alley of Leaders visible even from above the surface of the water.",communist architecture underwater week underwater natural wonders water sculptures nature museums and collections museums
4,Koyashskoe Salt Lake,"Kerch, Crimea",The saltiest lake in all of Crimea is also the pinkest of the pink and teeming with life.,https://www.atlasobscura.com/places/koyashskoe-salt-lake,"Lake Koyashskoe is an anomaly in the sense that the drier it gets, the more beautiful it becomes. This is because as the water evaporates and the salt content rises, the microscopic algae and brine shrimp that gives this lake its ever-darkening pink hue flourishes and concentrates. The water level drops, and salt crystals sparkling like diamonds encrust rocks that jut out from the water. Measuring at about 350 grams of salt per liter, Lake Koyashskoe is the most saline body of water in Crimea (a territory which is now occupied by Russia, but is still claimed by Ukraine). Located in the Opukske Nature Reserve, the lake creates a martian landscape on the Kerch Peninsula, and is separated from the Black sea by only a small strip of land. Against the sea’s cerulean waters and white shores, the crustacean pink really pops in contrast. Not nearly as treacherous as the torrid Lake Natron or as deep as the salt-rich Lake Retba, Lake Koyashskoe is small for a majestically pink salt lake. Regularly only about three feet deep, the water stretches across a silt bed about four and a half miles long and a little over a mile wide. The silt below the lake is said to have some serious medicinal properties, and the locals have long collected it as well as farmed salt from the water’s edge. Like its salty associates, it’s uninhabitable for most plants and creatures, with an exception for brine shrimp and the algae that give the water its pink to scarlet glow.",pink wonders of salt salt martian landscapes lakes natural wonders ecosystems water nature
5,Decommissioned Soviet Sub Base,"Sevastopol, Crimea",In the land of the Light Brigade stands a testament to the Cold War.,https://www.atlasobscura.com/places/decommissioned-soviet-sub-base,"Balaclava has occupied a place in military history for centuries. During the Crimean War the Battle of Balaclava, which was fought between British and Russian troops, was immortalized by Tennyson in his poem, The Charge of the Light Brigade. More recently however visitors to the town have been able to experience and tour an old Soviet Submarine base that was constructed during the Cold War. This concrete and steel complex, once a testament to the power of the Soviet Union, now stands derelict having been virtually abandoned since 1993. Designed to withstand the direct impact of a nuclear weapon, the base is covered in a 56meter thick layer of concrete, and includes a warren of tunnels and corridors that at one time housed some of the most advanced and destructive weapons of the Cold War. During this period the entire town was enveloped in a dense cloud of military security with few outsiders permitted to enter the base or the town. Balaclava was cut off from the rest of the world, most of the inhabitants worked on the base and, because of the highly classified nature of their work, were not allowed out of the town. In fact the base could support the entire population of Balaclava (3000 people or so) autonomously for three years in the case of nuclear fall out. Since the base’s decommissioning in the early nineties visitors have been able to tour through the complex and also visit a small museum which sits in a former ammunition depot buried deep within the hillside. Located on the Black Sea Coast, only six miles or so outside of the city of Sevastopol, the base is not only an interesting tourist attraction but also serves as a reminder of the secrecy and militarism that surrounded the Cold War.",cold war soviet history ghost towns military history military
6,Ai-Petri Bridges,"Yalta, Crimea",One of the windiest peaks in Crimea is home to an incredible set of cable bridges.,https://www.atlasobscura.com/places/aipetri-bridges,"While Crimea is a bit too contentious for casual tourism, that doesn’t mean that there aren’t wonders to be found among the turmoil. For instance the peak of Ai-Petri where high winds buffet a handful of rickety suspension bridges for a good portion of the year. Ai-Petri, meaning St. Peter in Greek, is a peak in the Crimean Mountains. One of the windiest places in Crimea, the wind blows for 125 days in a year and up to speeds of 100 miles per hour. In addition to the somewhat troublesome winds, the high peak is also one of the foggiest places in the Ukraine, giving the heights an air of mystery and danger. But for all the foggy and blustery conditions on the 4,000 foot elevation, it offers amazing views the surrounding cities of Yalta and Alupka, as well as the Black Sea. But the view of the peak itself is an incredible sight to see. The most well known feature is a tall cross that has been planted in the actual peak, which is a lone stone pillar. Sightseers can reach the via a pair of wood-slate cable bridges that stretch out over the often cloudy void. It certainly does not look to be for the faint of heart. The cable bridges were built in recent years, and allows for safe passage to the cross that was long-ago erected on a rock formation. The top can be reached by a long hike to the top, but most visitors opt for the cable car ride that will take you right there and back for about $4 each way. It offers the added benefit of allowing you to be suspended over a yawning void for even longer.",mountains bridges
7,Druzhba,"Yalta, Crimea",This space age health spa looks like a supervillain's lair.,https://www.atlasobscura.com/places/druzhba,"This space age building overlooking the Black Sea would be the perfect hideout for a villain on vacation. Indeed, when Druzhba was built in 1986, designed by famous Soviet architect Igor Vasilevsky, the structure overlooking the sea was so ominous Turkish spies assumed it was a secret military building. They couldn’t have been more wrong. The building, whose name means “friendship,” is actually a health spa. The strange spaceship design allows for private balconies and amazing views from most of the rooms. On the outside it appears harsh and blocky, but on the inside the circular spa is open, light, and airy. The centre of the building contains social amenities like a salt water pool, a cinema, and cafes. The artistic concept draws heavily from science fiction depictions of futuristic cities, as well as the Soviet architectural tendencies to maximize public space in a space age style. Vasilevsky credited flying saucers and time machines as inspiration for his design. Today the spa remains open and popular as ever, catering mostly to tourists.",soviet architecture resorts health hotels architectural oddities architecture
8,Tsarsky Kurgan,"Kerch, Crimea",This ancient burial mound is accessed by an impressive Greek-built archway.,https://www.atlasobscura.com/places/tsarsky-kurgan,"The Tsarsky Kurgan or Royal Kurgan is believed to have been constructed as long ago as the 4th century BCE, but the lovely vaulted hallway leading to the burial chamber inside looks like it was made much more recently. A “kurgan” is a type of burial mound where the bulbous pile of dirt and stones is piled atop a burial chamber of some kind. The Tsarsky Kurgan of Crimea is unique among these structures for its entrance hall which is a sharply vaulted limestone corridor that looks almost as though it was created in a much more modern epoch. It was the Greeks who inhabited the area at the time who used their noted building abilities to create the artful entrance. There are a number of kurgans found in what is the modern Ukrainian city of Kerch. Since the Tsarsky Kurgan is said to hold the remains of an ancient king, it stands out above all the rest. The modern researchers of the site found the burial vault empty, likely looted long before they arrived, but it is believed that a king of the ancient Bosporan state was once interred there. Later Christian scrawlings have also been found in the empty burial rooms, suggesting that the mound was used as a hiding place for the early adherents to the religion. Today the hallway of the ancient mound can still be entered through the angular hall. Just look for the mound with the giant cleft in the side.",mounds archaeology architectural oddities architecture
9,The 'Valley of Death',"Sevastopol, Crimea",This vineyard was the site of the infamous Charge of the Light Brigade.,https://www.atlasobscura.com/places/the-valley-of-death-sevastopol-crimea,"There’s a reason this plot of land is referred to as the “Valley of Death.” Though it now looks like no more than a tranquil vineyard, this spot was once the stage for a tragic battle caused by a terrible military blunder. The Charge of the Light Brigade is one of the most storied military actions in British military history. The cavalry’s ill-fated charge was so disastrous, the Russian forces they battled allegedly believed the British soldiers had been drunk. The Light Brigade was supposed to have been sent to prevent Russians from capturing guns from overrun Turkish positions during the Crimean War. But as a result of miscommunications in the chain of command, the troops were instead ordered into a full frontal assault against a well-defended artillery battery, where they faced direct fire from all sides. Surprisingly, the Brigade was not annihilated, though casualties were predictably high. The men fought with just lances and sabres. Their mounts lacked armor. Of the approximately 670 who rode, 278 were killed or injured and 335 horses perished. While the reputation of the British cavalry’s bravery may have been enhanced, the same cannot be said for the commanding officers whose subsequent attempts to blame each other for the disaster descended into farce. The charge itself achieved little, but the fact that there were no recorded objections to a potentially suicidal action has sealed the Light Brigade’s reputation in history. Witnessing the charge in its full glory prompted a French Marshal by the name of Pierre Bosquet to utter the damning statement, “C’est magnifique, mais ce n’est pas la guerre. C’est de la folie” (“It is magnificent but it is not war, it is madness”). The tragedy of the event was immortalized in the 1854 poem, “The Charge of the Light Brigade.”  Visiting the site is not so easy since Russia annexed the Crimea, but it's well worth making the effort if possible. There are plenty of knowledgeable guides in Yalta who can arrange a visit to all the sites connected with the Crimean War (including Sevastopol). The area has many memorials and an excellent museum relating to the Crimean War. From the surrounding hills you can get a good view of the valley which has changed little since 1854. It's possible to visit the valley itself, but it is now a vineyard so care should be taken to keep to the track.",military history war history military
