index,attraction,location,blurb,url,description
0,Royal Mausoleum of Mauretania,"Tipaza, Algeria",The original resting place of Queen Cleopatra and Mark Antony's only daughter.,https://www.atlasobscura.com/places/royal-mausoleum-of-mauretania,"While it’s one of the least visited countries in the world, Algeria boasts some of the most well-preserved and diverse Roman ruins outside of Italy. Among its largest relics is the marvelously imposing tomb of the only daughter of one of history’s most famous leaders. While Cleopatra has become a staple of modern culture, her daughter Princess Cleopatra Selene II is much less well known. Born in Egypt around 40 BC, Cleopatra Selene was brought to Rome after her parents committed suicide following her father Mark Antony’s defeat in the Battle of Actium. Some 10 to 16 years later, she was married to Juba II, a Berber prince from modern-day Algeria. The newlyweds were given orders to rule Mauretania, a previously unorganized and loosely governed Roman vassal state spreading from Algeria and Morocco, which they did quite successfully until Cleopatra Selene died sometime around 6 BC. The mausoleum in which the princess was buried was commissioned by her husband and, given its size, seems to have been intended to house the remains of the entire royal family. When King Juba died in 23 AD, he was buried in the mausoleum with his wife. Over the last two centuries, the mausoleum has been repeatedly ransacked and attacked by treasure seekers and military strongmen. Cleopatra and Juba’s human remains, in fact, were removed from the burial site long ago, most likely by looters. In 1555, an Ottoman admiral by the name of Salah Rais ordered the mausoleum destroyed. Upon entering the monument, however, Rais’ men were met with a massive swarm of black wasps, which promptly attacked and stung many of the would-be saboteurs. The attack was so fierce that several of the men actually died from their stings. Seeing this as a sign that the mausoleum shouldn’t be disturbed, the project was abandoned. Many years later, the occupying French Navy used the site for target practice, resulting in some minor damage to the structure. In 1866, Emperor Napoleon III visited the mausoleum. Thoroughly impressed with the structure, he righted the French Navy’s wrongs and demanded that the building be preserved and protected, allowing modern visitors a chance to wonder at the ruin and remember the life of a princess that may have otherwise been forgotten by time.  The mausoleum is formally part of the Tipasa Archaeological Site, located approximately 40 miles west of Algiers. It is best (and easily) reached by car. The entrance is fee is less than $1 USD. Note: when traveling from Algiers to Tipaza (the archaeological site is spelled with an ""s"" and the city is spelled with a ""z""), be sure to bring your passport and a copy of an accommodations booking, as police often set up roadblocks on the way to Tipaza and sometimes detain travelers lacking these documents."
1,Tipasa Roman Ruins,"Tipaza, Algeria","An extraordinary mix of Phoenician, Roman, early Christian, and Byzantine ruins beautifully set overlooking the Mediterranean.",https://www.atlasobscura.com/places/tipasa-roman-ruins,"When you set foot in Tipasa, you see exactly why this plot of land has long been a prime piece of Mediterranean real estate. Among honeyed beaches, shady pine trees, and gently rolling hills, the sweeping turquoise sea serves as the backdrop for a layered history of golden ruins overlooking the coastal cliff. Colonized several times over between the 6th century BC and the 6th century AD, Tipasa originated as a trading center for the Phoenicians of Carthage. At that point, the city served as a port from which the population could buy and sell commercial goods with Greece, Italy, and the Iberian Peninsula. But not for long. Over time, the ancient settlement would variably fall under the rule of the Romans, early Christians, and Byzantines, each of whom used the territory as a trading post and/or a launching point for conquests into the kingdoms of Mauritania. A walk through the centuries of remodels and new additions at the site features a comprehensive Punic necropolis; ancient toilets; an amphitheater that saw gladiator throw-downs and naval battle reenactments; a second theater because, well, one entertainment venue is never enough; a Christian religious complex fitted with thermal baths, basilicas, and tombs; and, of course, the main streets of the once-bustling town center, which stretch directly out to the sea. Under Roman rule, a defensive wall was erected around the city to protect it from nomadic tribes, as the site became a serious military and commercial contender. The central location of Tipasa also enabled the Romans to build up their North African road system. Later, as Christianity spread, religious buildings did too, including the Great Basilica and the Basilica Alexander—focal points of Tipasa’s western section—while the Basilica of St. Salsa served those too lazy to walk over and attend mass from the eastern side of town. Alongside the folds of colonial ruins, monuments of the indigenous people of the area also stand. The most notable is the nearby royal mausoleum, Kbor er Roumia, which is the funerary monument of Berber King Juba II and Queen Cleopatra Selene II (Cleopatra and Marc Antony’s only daughter). Tipasa took a hit by the Vandal king Huneric in 429, who persecuted its Catholics, the remainder of whom fled for their lives to Spain. After this, the ancient city was abandoned, and although the Byzantines revitalized it somewhat in the 6th century, it fell into ruin shortly after. Tipasa has been called “one of the most extraordinary archaeological complexes of the Maghreb” by UNESCO. And it certainly is worthy of the title. Be sure to fill up on couscous before the trip!  The drive from Algiers to the Tipasa Archaeological Park is about 74 kilometers (45 miles), but a stop-off at the funerary monument of Kbor er Roumia will add a bit more mileage to your trip. Come with a tour, and you’ll probably be led by a rehearsed historical guide. Come on your own, and a knowledgeable local groundskeeper might take you under his wing, offering an off-the-cuff history lesson at no extra charge. Note that the ancient site of Tipasa, spelled with an ""s,"" is located in the modern city of Tipaza, spelled with a ""z."""
2,Sidi M'Cid Bridge,"Constantine, Algeria",This dizzying span over the ancient Algerian city was once the highest suspension bridge in the world.,https://www.atlasobscura.com/places/sidi-m-cid-suspension-bridge,"The Sidi M’Cid suspension bridge is the highest and most stunning of all the bridges in the Algerian city of Constantine, often called the “City of Bridges” thanks to its unique and picturesque geography. The 2,000-year-old city is located about 50 miles inland from Algeria’s Mediterranian coast, set on a high plateau split in half by a deep and dramatic gorge. A series of historic bridges span across the Rhummel River gorge that runs through Constantine, but the Sidi M’Cid Bridge is the most iconic—the highest link between the rocks that divide the city in two. Built in 1912, the Sidi M’Cid Bridge stands 575 feet (175 meters) high. At the time it was built, it was the highest suspension bridge in the world (surpassed by the Royal Gorge Bridge in Colorado in 1929). It dominates the gorge, offering an exceptional view over part of the city and valley beyond. This dizzying road bridge connects the Medina of Constantine to the university hospital center. The architectural design, a hybrid cable-stayed suspension bridge, gives it a similar look to another iconic monument across the Atlantic: the Brooklyn Bridge— although the Sidi M’Cid Bridge is more than twice as high.  The bridge is open for both cars and pedestrians. It is also easily reachable by Constantine’s gondola cable car, the téléphérique."
3,Tassili n'Ajjer,Algeria,The abstract sandstone rock formations at this Algerian national park are rich with prehistoric art.,https://www.atlasobscura.com/places/tassili-najjer,"Just outside the desert oasis of Djanet, Algeria, there’s a national park brimming with pieces of the past. A trip through the alien-like landscape of Tassili n’Ajjer is like stepping into an open-air art gallery, where the sandstone rock formations become canvases for more than 15,000 prehistoric carvings and paintings. According to UNESCO, the park holds one of the world’s most important clusters of prehistoric rock art. The paintings and carvings offer a fascinating look at the animal migrations, changes in climate, and human life that helped shape the area’s history. The artwork is from the Neolithic period, back when this slice of the Sahara was a savanna teeming with wildlife like antelopes, giraffes, and crocodiles. You’ll find images of these creatures etched or painted onto the rocks. You’ll also find images of humans which act like a historical snapshot of daily life. In these, you’ll see people doing a range of activities like dancing, hunting, or handling their livestock. In addition to the art, Tassili n’Ajjer is worth exploring for its unique environment. The wind has sculpted the sandstone structures into beautiful, abstract shapes that tower above swathes of sand. Because of the nearby oasis, this part of the Sahara still boasts a considerable amount of life. Here, you’ll find endangered species of vegetation like Saharan Myrtle and Saharan Cypress. You may even catch a glimpse of a mouflon, a type of wild sheep that’s depicted in some of the early rock art."
4,Timgad,"Batna, Algeria",Classical ruins that remember ancient Rome's presence in Africa.,https://www.atlasobscura.com/places/timgad,"Located in the province of Batna, Timgad was an ancient Roman city built by the Emperor Trajan. It ceased to be inhabited after the 8th century. The triumphal arch, called  the “Arch of Trajan,” survived the test of time, and was finally renovated in 1900. The theater is also in good condition, and is still used for modern music shows. The city was added to UNESCO’s world heritage list in 1982."
5,Assekrem,"Tamanrasset, Algeria","A century-old stone hermitage overlooks this remote pass in the Hoggar mountains, surrounded by a landscape of eroded volcanic cores.",https://www.atlasobscura.com/places/assekrem,"In the middle of the Sahara lie the Hoggar Mountains, a brutal landscape of basalt buttes erupting from the barren landscape. In the heart of the Hoggar is a dramatic cluster of eroded volcanic cores overlooked by the 9,000-foot high Assekrem Pass. Part of the Ahaggar National Park, Assekrem is one of the many wonders of southern Algeria. It is located some 50 miles from the city of Tamanrasset. In 1911 Charles de Foucauld, a French soldier turned missionary, built a crude hermitage at Assekrem. De Foucauld spent most of his time in Tamanrasset, living closely with the Tuareg people and studying their language and culture. In 1916, he was assassinated as a suspected spy. He was beatified in 2005 and the hermitage is still tended today by aging monks from the order of Les Petites Frères de Jésus (the Little Brothers of Jesus), who were inspired by de Foucauld’s life and works. There is a lodge at Assekrem where visitors can spend the night to take in the stunning views of sunrise and sunset across the brooding monoliths from the plateau just above the pass.   These days access to southern Algeria is restricted, particularly in the province of Tamanrasset. You can fly there from Algiers in about 3 hours but will need the help of a local tour agency to get a visa and to organize the drive to the col, or lay on a camel trek which takes about a week."
6,Sacred Heart Cathedral of Oran,"Oran, Algeria",This former cathedral is now a bustling library packed with students and pigeons.,https://www.atlasobscura.com/places/sacred-heart-cathedral-of-oran,"Colorful mosaic portrayals of Jesus and the icons of the Four Gospels shine out from the facade of the Sacred Heart Cathedral of Oran (Cathédrale du Sacré-Cœur d’Oran). Visitors who enter beneath the grand arch will find the organ, the chancel, and an altar adorned with crucifixes. But beyond those remaining vestiges, you won’t find anything else relating to Roman Catholic worship. Deconsecrated after Algeria declared independence from France, the secularized site has served as Oran’s public library since 1996. In spite of this, traces of the church’s original function remain and provide a remarkable contrast to the city’s other former religious sites (such as the Great Synagogue, which was converted into the Abdallah Ibn Salam Mosque). It’s well-worth joining the citizens of Oran who flock to the boulevard and the library to marvel at the mosaic facade and contemplate a structure that represents aspects of Algeria’s 20th-century history in microcosm—just keep your eyes out for pigeons overhead if you venture inside. Instead of religious services and a congregation, you’ll see shelves of books and documents in the chapel niches, and tables of students studying and socializing in what used to be the nave. Wander over to the chancel and apse areas of the ex-church, and you’re liable to encounter pigeons (and their poo). Of further note is the fact that the cathedral, constructed between 1904 and 1913, was the first church built out of reinforced concrete in the French overseas territories. The altar is, likewise, reinforced concrete and was therefore not blessed during the cathedral’s 1930 consecration as the material is not recognized by canon law. The cathedral also serves as the setting for several poignant scenes in Albert Camus’ novel The Plague.  As a public library visitors are free to enter and walk around."
7,Amguid Crater,"In Amguel, Algeria",One of the best-preserved impact craters on the planet is located in the middle of the Sahara Desert.,https://www.atlasobscura.com/places/amguid-crater,"In a remote region of the Sahara Desert, an impact crater was punched into the land less than 100,000 years ago. Measuring some 500 meters (1,640 feet) wide and about 70 meters (230 feet) deep, the Amguid Crater is located in southwestern Algeria. On satellite imagery, the white spot of the flat, sandy crater floor is clearly visible; the residue formed by millennia of sporadic rain running into the bowl and evaporating. The first known record of the Amguid crater in scientific literature was made by the French explorer Roman Karpoff, who noted a possible impact crater from a plane in 1948. The French geologist Jean-Phillippe Lefranc visited the crater in 1969. The crater is almost perfectly circular, with steep walls and raised rims that are covered with large blocks of sandstone. Shallow canyons cut through the plateau from east and west and spill out into the Erg Bou Zerafa sand sea to the north. One of the canyon mouths at the waterhole of Aguelman Rahla, has an unusually high concentration of pre-Islamic tombs. Rock art, neolithic tools and other pre-historic relics suggest the entire region was occupied thousands of years ago when the Saharan climate was less arid. Amguid is the name of the nearest village (and army base) about 100 kilometers (62 miles) to the northeast.  The best way to get to the Amguid crater is on foot from the village of Arak on the trans-Saharan Highway. The 120-mile walk takes about 10 days so you'll need the services of a guide, cook and a camel caravan to carry provisions. There are waterholes along the way for replenishment (not all of them obvious), but no human habitation of any kind. Nor is it possible for a 4x4 to follow this route from the south. A 4x4 can get within 8 miles of the crater from the north, after leaving the trans-Sahara Highway midway between In Salah and Arak. It's a rough drive so it's best to leave the car at Aguelman Rahla and walk south over the plateau or follow the winding Oued Tafrekrek canyon, then climb up the side to the crater."
8,Martyrs' Memorial,"Algiers, Algeria",This massive monument towers over the city as a constant reminder of the lives lost during Algeria's hard-won war for independence.,https://www.atlasobscura.com/places/martyrs-memorial,"Opened in 1982 to honor the 20th anniversary of Algeria’s brutal and bloody war for independence, this impressive concrete monument is a testament to the country’s long struggle to throw off its French colonizers. The memorial rises 302 feet tall and is comprised of three soaring “palm leaves,” each punctuated at the base by a statue of a single Algerian soldier. In the center of the monument sits an eternal flame. The memorial was erected on the site on an old military fort on a hill in Algiers, allowing it to be seen up and down the capital city’s long and winding coastline. The memorial is free to visit (although soldiers will most likely prevent you from getting close to the eternal flame) and the surrounding plaza is a popular gathering spot. Entrance to the nearby military museum (Musem de l’Armee), which is located at the opposite end of the square, is free to enter and has a wide collection of exhibits that provide more context on Algeria’s complicated relationship with France.  The memorial can be easily reached via a small public cable car, which runs up the hill and connects the monument to the Botanical Garden Hamma (Jardin d'Essai du Hamma)."
9,Opera d'Alger (Algiers Opera House),"Algiers, Algeria",A new landmark that fosters cultural exchange between traditions.,https://www.atlasobscura.com/places/opera-dalger-algiers-opera-house,"This stunning opera house, a gift from the Chinese government to Algeria, opened to the public in 2016. The huge, rectangular building, reflected by a shallow pool just outside its doors, opens to an ornate greeting hall with floor-to-ceiling windows and a massive spiral. At an impressive 35,000 square meters, the venue can hold 1,400 seated guests. China and Algeria have a long economic relationship, the roots of which emerged in China’s support for Algeria’s independence struggle in the 1950s. Their continuing alliance is memorialized by the $40 million dollar project that started construction in 2013, just 11 years after the end of Algeria’s civil war. The nearby historic Théâtre National Algérien Mahieddine Bachtarzi, constructed between 1850 and 1853, was also once known as the Algiers Opera House, but is now better known as the National Theater. The Algiers Opera House hosts festivals, concerts, conferences, and other events. International artists and Algerians alike perform at the venue, including the Symphony Orchestra, the National Ballet and the Andalusia Music Group. This facilitates many opportunities for cultural exchange, such as the U.S. State Department-funded OneBeat Sahara music residency, which recently brought 25 musicians from North Africa and the United States to publicly perform at the opera house as a finale to 12 days of music exchange. After two pandemic-impacted seasonal closures, the opera house is open for regular programming. Their Ramadan program for April 2022 features about 150 artists collaborating in 17 separate performances over the holy Islamic month alone. Ongoing artistic workshops and operatic training are offered to young people and students looking to engage in the artistic community of Algiers.  Visitors can tour the opera house at their leisure, as long as performances or special events aren’t in progress. Students and adults 65 and over usually qualify for discounted tickets, and the opera doesn’t allow children under 5 to attend performances. Masks are currently mandatory due to the Covid-19 pandemic."
