index,attraction,location,blurb,url,description
0,Blue Lagoon,"Grindavík, Iceland",Medicinal spa created with the discharge from a geothermal energy plant.,https://www.atlasobscura.com/places/blue-lagoon,"The lava fields by the Svartsengi geothermal plant were accidentally transformed into a spa in the 1970s. Discharged water from the plant, which is rich in salt, blue-green algae, sulphur, and white silica, was found to help with skin problems by locals who ventured into the run-off. All of Iceland’s electricity comes from hydroelectric or geothermal sources, like that at the Blue Lagoon. By utilizing the water left by the many glaciers and the heat coming from below the volcanic island, the country requires fossil fuels only for its transportation. The Icelandic power plants are not generating energy so much as harnessing the renewable sources that are constantly coming up from the ground. The Blue Lagoon is now one of Iceland’s most popular attractions, while the geothermal plant continues to work at its edge, pulling seawater up from 2,000 meters underground, bringing earth minerals with it. Once moved through the turbines in the plant, the seawater comes into the lagoon via a pipeline, free of bacteria and with a temperature of around 39°C (102°F). Hundreds of thousands of visitors come each year to swim in the sapphire waters, shrouded with an ethereal steam mist."
1,Svartifoss,Iceland,The unique waterfall in Iceland's south features a backdrop of geometric black lava columns.,https://www.atlasobscura.com/places/svartifoss,"On paper, the Svartifoss Waterfall is nothing to write home about. It doesn’t enter the top 10 lists for size or volume, and it’s quietly tucked in a small national park in southern Iceland. But a picture is worth 1,000 words, and the black, hexagonal columns that frame the thin falls make it one of the most striking and unique waterfalls in the world. Formed from lava flows in Skaftafell National Park, the Svartifoss are situated along a beautifully marked track a few kilometers into the park. Over centuries, lava flows cooled at a languid pace in Iceland’s frosty air, gently forming the stacked hexagonal crystals that provide the backdrop for the falls. Turned to a striking black color over its creation, the cliffs contrast with the green flora and cascading falls and provide the site with its name. Although the falls are so beautiful you might be tempted to step in for a dip, it is far from recommended as the bottom of the falls are covered with sharp rocks. Instead, visitors should hike through the park to the falls, which were recently featured in the Bon Iver film clip, Holocene.  There is a marked track from Skaftafell National Park to lead you to Svartifoss"
2,The Museum of Icelandic Sorcery & Witchcraft,"Hólmavík, Iceland","Staves, storm-calling, and of course, necropants.",https://www.atlasobscura.com/places/the-museum-of-icelandic-sorcery-witchcraft-holmavik-iceland,"While witches are traditionally thought of as female, those accused of witchcraft in Iceland were traditionally male, but during a superstitious time in the country’s past, they were executed just the same. At Strandagaldur, the museum of Icelandic sorcery & witchcraft, these times of magic and fear are remembered in often shocking detail. The museum focuses on the elaborate and esoteric spells and rituals that the regional magic called for which would provide such effects as conjuring a creature to steal goat’s milk or making someone invisible. The collection features a number of artfully displayed original artifacts and entertaining replicas such as rune-carved pieces of wood, animal skulls, and a number of Icelandic magical staves. However, the most shocking and remarkable piece is easily the so-called “necropants“ which is the dried skin of a man from the waist down. These horrifying leggings were used in a spell that would supposedly bring the caster more money. The museum also features a display of an undead skeleton breaking up through the floor to further explicate the terror sorcery once caused the local people. Strandagaldur stands as a graphic reminder that while witchcraft has been feared the world over, Iceland really turned sorcery into something terrifying."
3,Hvítserkur,Iceland,Rising from the sea like a stone monster.,https://www.atlasobscura.com/places/hvitserkur,"Hvitserkur, which translates to “white shirt” and derives its name from being covered in Shag and Cormorant guano, rises 15 metres, or nearly 50 feet from the sea. It was once the plug of a volcano, but over the years the craters surrounding the rock plug gave way to the pounding Atlantic Ocean leaving only the unusual outcropping Hvítserkur behind. Curiously, Hvítserkur itself would have given way to the ocean as well, had its foundations not been shored up with concrete some years ago. Icelandic legend has it that the rock was a troll who forgot to retreat from the light and was turned to stone in the sunrise, though from some angles it is said to look like a dragon drinking from the water. The geological oddity was commemorated on an Icelandic stamp in 1990."
4,Gljúfrabúi,"Hamragarðar, Iceland",This fantastical waterfall is hidden in a cave located in a cracked cliff.,https://www.atlasobscura.com/places/gljufrabui,"Waterfalls can make for some of the most magical vistas in the world as they carve solid rock into often incredible formations. Such is the case with Iceland’s Gljúfrabui waterfall, which is almost completely hidden behind a cliff face. The waterfall has carved a mossy cylindrical chamber into the rock which can only be reached through a thin crack in the outside cliff wall. Once through the crack, explorers are hit with the incredible majesty of the hidden waterfall as it crashes into a pool at the base of the cave. The interior of the cave is nearly completely covered in a thin carpet of greenery thanks to its continually moist surroundings. These clandestine waterworks distill the natural wonder of Iceland’s scenic beauty.  This waterfall is easily accessible from Route 249 is a short distance off the Route 1 Ring Road in Iceland. It is a few hundred feet past the more famous Seljalandsfoss."
5,Kerid Crater Lake,Iceland,This eye-popping Icelandic crater lake is surrounded by red volcanic rock.,https://www.atlasobscura.com/places/kerid-crater-lake,"In Iceland, you can’t just have a stunning lake. No, it also has to be inside of a volcanic caldera. And sometimes that’s not even enough, so the showiest country in the world provides something like Kerid Crater Lake, which is a nearly neon blue lake sitting in a volcano surrounded by rare red volcanic rock. Located in southern Iceland along the so-called Golden Circle, Kerid is unique among crater lakes in that its caldera likely didn’t form from an explosion as most do. The Kerid volcano is thought to have formed when the magma in the center simply depleted itself, and the empty chamber beneath caved in. Regardless of the geological minutia that led to the lake’s creation, its bright rainbow of colors look unearthly. In addition to the bright, sapphire-colored waters, the steep slopes of the caldera’s bowl are almost entirely covered in red volcanic rock. There is one, less-steep side of the slope that is covered in rich green moss, as though the lake weren’t colorful enough. During winter, however, Kerid transforms from a vibrant place to a hotspot of Icelandic desolation and starkness. In truth, it’s no less beautiful or impressive in winter, just different. The lake itself freezes over and becomes a giant ice rink for the most adventurous tourists. The rest of the crater, like the surrounding landscape, is caked in ice and snow. Though bleak, it’s perhaps easier to feel the vastness and raw power of the natural forces that govern Iceland. The lake can be visited along with tours of the Golden Circle, just try not to lose yourself in its beautiful blue eye.  In the southern part of the Golden Circle, the crater is located 15 km north of Selfoss, right off highway 35. It costs 400 kronur to enter and walk around the rim. You will get an informational brochure.  The parking lot is small and often fills up and there are no facilities available."
6,Hallgrimskirkja,"Reykjavik, Iceland","One of the tallest buildings in Iceland, and perhaps, the most visually impressive.",https://www.atlasobscura.com/places/hallgrimskirkja,"Rising 244 feet above the streets of Reykjavik is Hallgrimskirkja. The building is situated in the capital city’s center and has become one of Reykjavik’s best-known symbols. The Lutheran church has a stylized concrete exterior inspired by the distinctive basalt formations found throughout Iceland, such as the waterfall Svartifoss. This gives the building an appearance more akin to a spaceship than a place of worship and makes it a unique feature of Reykjavik’s skyline. Although construction began in 1945, the church took 38 years to build, as many parts of the church were consecrated and in use at different times. Besides its stunning exterior, its most famous feature inside is a huge organ that was built in Germany in 1992, boasting 5,275 pipes. It is 15 meters tall and weighs 25 tons. Along with an exploration of the inside of the Hallgrimskirkja, the bell tower, which is accessible via an elevator, provides the best views in the city. A hidden gem is the large stained glass window above the church entrance. From the outside the window isn’t done justice, it’s only when you see it with natural backlight that you really see its beauty. The window is on the tower’s second floor, accessible through stairs on the right-hand side of the entrance. There is also a statue of Leif Ericksson in front of the church, a gift from the United States in 1930. The statue predates the actual construction of the church and was given to Iceland in commemoration of the 1000 year anniversary of Althingy, the Icelandic parliament at Thingvellir in 930A.D. Perhaps the best time of year to see Hallgrimskirkja is New Year’s Eve. Icelanders and tourists alike gather in the square in front of the church to count down towards midnight and welcome in the New Year. A huge fireworks display takes places all across Reykjavik, with a particular focus above Hallgrimskirkja. The results are spectacular and the church really comes alive, illuminated by the dazzling colours.  There is an admission fee for the tower, which is only accessible via a lift. It is ISK 1,000 (Icelandic króna) for adults and ISK 100 for children, which is payable at the church's gift shop."
7,Jökulsárlón,Iceland,Iceland's largest lagoon is home to stunning multi-colored icebergs.,https://www.atlasobscura.com/places/joekulsarlon,"Despite the splendor of Jökulsárlón’s light blue and milky-white icebergs, the beauty of the glacial pool in southeastern Iceland is bittersweet. As the melting of nearby glaciers has accelerated, the landscape grows both increasingly stunning and fragile. Since the 1970s, the melting glaciers have grown the Jökulsárlón lagoon to be four times larger, now measuring at 11.1 square kilometers wide. Formed entirely from glacial melt, Jökulsárlón is situated directly next to Iceland’s largest glacier, Vatnajökull, which covers eight percent of the country. As chunks of ice break off Vatnajökull, they float atop the icy blue waters of this whimsical glacial lagoon. Scientists estimate that the continued rate of melting of Vatnajökull will cause a massive fjord to exist where the glacier once stood, again adding to the natural beauty of Iceland’s landscape, but doing so at a great environmental expense. A visit to Jökulsárlón has become a must for Iceland bound travelers keen on seeing the lagoon that has become popularized in such films as “A View to a Kill,” “Die Another Day,” “Tomb Raider,” and “Batman Begins.” For those keen on seeing the Aurora Borealis, Jökulsárlón is a fantastic place to watch the Northern Lights. Photographers will often come and set-up their tripods before sunset.  Jökulsárlón is located between Skaftafell National Park and Höfn, in southern Iceland and is only accessible by car or bus. Travelers can rent a car from Keflavik Airport, outside Reykjavík, or may book one of the many available tours to in Reykjavík to Jökulsárlón and other Golden Circle highlights. Upon arrival at Jökulsárlón, travelers will find available zodiac boat tours that take people on a tour of the glacial lagoon and up close to the Vatnajökull iceberg. If hungry, you'll also find a small cafe at Jökulsárlón with available snacks. For a more robust meal—and perhaps one of the only food options in the immediate area—drive 15 minutes east to Hotel Hali, which serves up Icelandic comfort food. Pro tip: For a stellar view nearby, leave the main parking lot, cross the bridge and park in one of the rocky pull-offs. Hike up and over the hills to get down to a private rocky beach that offers a fantastic vantage point for the Northern Lights."
8,Fjaðrárgljúfur,Iceland,Strange rock formations tower above the river that snakes through this enchanting Icelandic canyon.,https://www.atlasobscura.com/places/fjadrargljufur,"Fjaðrárgljúfur (Fjadrargljufur in English) is a canyon a bit off the path off Iceland’s famous Ring Road. At just over a mile long, it certainly doesn’t boast the enormous expanses of the world’s other mighty canyons. But what it may lack in size, it absolutely makes up for in beauty. The canyon is made up of an assortment of crazy rock formations. They stretch skyward, flanking a river like gargantuan grass-clad guardians. A walking trail traces the top of the crags, leading to a certain spot that lets hikers feel as though they’re standing atop a kingdom of sublime natural wonders. When the river bled from the glaciers and carved its way through the land about two million years ago, it whittled out strange geologic patterns. The walls jut in and out, swerving back and forth so the water takes the shape of a blue snake slithering across the terrain. The majestic canyon slices through a patch of lush green earth. The river weaves through the verdant chasm, reflecting the colors of the sky and clouds above in its rippling water. The whole place has an enchanting feel. It’s the kind of landscape where you half expect to see elves or fairies peeking out from the many nooks and crannies. The canyon gains an even more evocative aura on a wet, dreary day when clouds cloak the sky and the river swells and surges with rain."
9,Bridge Between Continents,Iceland,Walk in the footsteps of the gods and straddle two tectonic plates.,https://www.atlasobscura.com/places/midlina-bridge-between-continents,"Iceland is slowly being pulled in two. At a rate of 2.5 centimeters per year, the mid-Atlantic ridge is pulling apart the North American and Eurasian tectonic plates. While most of this happens deep on the ocean floor, in Iceland, the ridge—a major tectonic plate boundary that sits between the North American and Eurasian plates—runs right through the middle of the island. A large fissure can be seen running across the land and splitting rock formations down the middle. In the eerie, otherworldly landscape of the vast lava fields on the Reykjanes Peninsula, the “The Bridge Between Continents” bridge crosses one of these rifts created by the mid-Atlantic ridge. It’s also referred to as “Midlina.” The bridge was previously called “Leif the Lucky” bridge, named after the famous explorer Leif Ericson, who was known for being the first Icelander to set foot in North America over 1,000 years ago. It also serves as a symbol for the connection between two continents, Europe and North America, new world and old. On the midway point of the bridge, a plaque reads, “The Bridge Between Continents,” and it serves as a borderline between the Eurasian plate and North American plates. The two sides are marked: ″Welcome to America″ and ″Welcome to Europe.″ Despite the epic feeling you may have jumping across ancient continental boundaries as old as the Earth, the border is entirely symbolic."
