index,attraction,location,blurb,url,description
0,Nimrod Fortress,Golan,"Named for the biblical warrior, the largest castle in Israel actually dates to the Middle Ages.",https://www.atlasobscura.com/places/nimrod-fortress,"A fortified structure in the foothills of Mount Hermon, Nimrod Fortress is a physical reminder of the Crusades. The castle is named for the biblical hunter Nimrod who, according to local legend, made his home on this summit in northern Golan. During the Crusades, the Levant—a region in the Eastern Mediterranean—was getting crowded with castles, built mainly by Crusaders desperate to hold their territory against the formidable armies of Saladin. By 1192, the Third Crusade had seen significant success in taking territory around Israel and a year later, Saladin died. Saladin’s nephew Al-Aziz Othman filled the vacuum left in the region, and built himself a massive castle on a cliff in the Golan Heights to protect the loftiest reaches of the Holy Land. The Crusaders didn’t stay away for long, and the fortress was rush-ordered—it was built between 1227 and 1230—in anticipation of the return of Christian forces under Frederick II, the Holy Roman Emperor. The fortress withstood the Frankish attacks, as well as later attacks under King Louis IX of France, but in time, Ayyubid control slipped and control of the fortress shifted briefly to the Mongols before settling on the Mamluks. Under the Mamluk Sultan Baibars—one of the most undersung characters in the Crusades, considering his outsize role in the region—the fortress was expanded. Today, Arabic inscriptions praising Baibars remain on the site, as well as a large stone carved with his sigil, the Lion of Baibars. Nimrod Fortress is the largest castle from the Middle Ages remaining in the region. The Siege of Acre in 1291 pushed out the last of the Crusaders, and the fortress remained derelict for several centuries. Nimrod’s strategic value is unmissable, and following the Crusades, the fortress was used by the Ottomans, the French (who were occupying the land, and suppressing revolts by local Arabs and Druze), and the Syrian army during the Six Day War. Today, the castle is under the control of Israel’s national park service, but being so far North, is off the beaten path of most tourists. It is most regularly populated by a smattering of rock hyrax—rodent-looking relatives of the elephant, who take to the fallen Crusader masonry as if they were rocks.  The castle is most accessible by car, but can also be accessed by rail and bus (if both, by transferring at Kiryat Shmona). Around the fortress are a number of Druze villages, and just a few miles west there are remarkable ruins of a Greek temple at Hermon Spring. It takes about an hour and a half to fully walk through the castle grounds, which stretches along the crest of one of Hermon’s foothills. In the summer, Nimrod Fortress National Park is open Sunday through Thursday and Saturday from 8 a.m. to 5 p.m. In the winter, it is open Sunday through Thursday and Saturday from 8 a.m. to 4 p.m. The castle closes an hour earlier on Fridays and holiday eves. Entrance to the park closes one hour before closing time. Tickets are ₪22 for adults and ₪9 for children."
1,Rujm el-Hiri,"Rujm el-Hiri, Golan",Tens of thousands of rocks make up what is thought to be a giant star calendar.,https://www.atlasobscura.com/places/rujm-el-hiri,"One of the more mysterious archeological sites in the Golan Heights region, Rujm el-Hiri is a wide series of piled stone rings that scientists have not been able to definitively date or decode since their discovery, although there are a number of theories. The megalithic wonder consists of five circles of piled up basalt rocks surrounding a central cairn that was once a tomb before grave-robbers picked it clean. Other smaller stone lines connect the rings in places creating a seemingly more meaningful design. The central stack stands around 15 feet high, in contrast to the surrounding rings which are generally around 8 feet tall. When excavations at the site began they found that it had once contained a tomb, but that had been long since cleaned out, leaving nothing behind. With no organic data to sample, the actual age of the construction is impossible to determine, but it was likely created around 3000 BCE. Thought of as the sort of Stonehenge of the area, Rujm el-Hiri has no lack of theories surrounding its use. Given the tomb at its center, some researchers have theorized that the site was related to a death ritual of some kind, possibly even being a site where the dead would be laid out to be devoured by birds. Others have suggested that the formation was some kind of ancient church to megalithic gods. However the most prevalent modern theory is that the rings were used as a celestial calendar that could measure the equinoxes and assist in primitive astronomy. Whatever the original use for the site was, its mysterious origins continue to fuel wonder and speculation to all who make the trek to the stone rings.  Warning: This site is in an Israeli army firing zone and it is adjacent to old mine fields. Extreme caution should be taken if you're trying to reach it."
2,Quneitra,Golan,Ghost Town in the Demilitarized Zone of the Golan Heights.,https://www.atlasobscura.com/places/quneitra,"Quneitra is the destroyed and abandoned capital city of the Quneitra Governorate. The area is under Syrian control within the UN-patrolled demilitarized zone between Syria and the Israeli-occupied Golan Heights. The Golan Heights was occupied in the course of the Six Day War of 1967. During the 1973 Yom Kippur War the city was recaptured by Syrian forces but was once again occupied by Israel in a counter-offensive. After the 1974 ceasefire, Israeli troops withdrew from Quneitra. Before handing Quneitra back to Syria, the Israelis evacuated the population, and then systematically destroyed the buildings of the city selling anything movable to Israeli contractors – a move which was heavily condemned by the UN. The late Syrian President Hafez al-Assad ordered that the city shall not be rebuilt and since then the ruins have become something of a propaganda exhibit. Today the ruins of the flattened houses of the city, which once had a population of 20,000, provide an eerie atmosphere, reminiscent of post-apocalyptic films. To visit Quneitra a permit must be obtained from the Syrian Ministry of Interior in Damascus. Any visit is accompanied by Syrian military personnel to protect visitors from wandering off into the minefields that surround the city."
3,Ein Keshatot (Spring of the Arches),Golan,"This sixth-century synagogue was first reconstructed digitally, then in real life.",https://www.atlasobscura.com/places/ein-keshatot,"During the sixth century, a small but wealthy Jewish village in Golan Heights constructed a large synagogue. The synagogue stood for three centuries before a devastating earthquake in 749 destroyed the entire village. The village and its impressive synagogue have lain in ruins ever since. That is, until 2003 when engineer Yehoshua Dray and archeologist Chaim Ben-David began a project with an ambitious goal of reconstructing the ancient synagogue at Ein Keshatot (also known as Umm el-Qanatir). Digital scans were taken of each stone block, and then a computer program was used to virtually reconstruct the synagogue. In 2010, the physical reconstruction finally began. Using the computer-generated rendering, a large crane was used to place each stone into its correct position. In 2016, the project was finally completed, and in 2018, the site was opened to the public. Elaborate carvings of menorahs and the Four Species can still be seen on the synagogue’s walls and columns. Some of these carvings decorate a stone ark, that miraculously survived the 749 earthquake. At the other end of the village, two large arches overlook a spring and pool of water. This was the industrial area of town where linen would have been manufactured. While no linen is made here today, the spring still flows, and the arches still stand over a pool of water that would’ve been used to clean flax thousands of years ago. These arches are also how the village got its name—Ein Keshatot translates to “Spring of Arches.” The site is on the edge of a cliff overlooking Nahal Samach, a deep gorge, and provides stunning views of the valley stretching towards the Sea of Galilee.  The site is small and takes only an hour to visit. The visitors’ center has a small display of archeological finds from the village and screens a documentary (Hebrew with English subtitles) about the reconstruction of the synagogue. There are still active archeological digs at Ein Keshatot. Occasionally, there are opportunities for visitors to take part in the digs. For opening hours and entrance fees, check the official website."
4,Habokrim Restaurant,"Merom Golan, Golan",Saddle up to Israel's only cowboy-themed bar for a hearty (and kosher) steak.,https://www.atlasobscura.com/places/habokrim-restaurant,"Located on a kibbutz that offers a number of traditionally Western pastimes such as horseback riding and cattle wrangling, the Habokrim Restaurant tries to provide a real Wild West experience while keeping to Jewish law. Despite being located in a tumultuous area of Golan Heights near the Syrian border, the ranchers of the Merom Golan kibbutz continue to raise beef cattle in much the same fashion as Western cowboys have for over a century. The area’s unique climate and flora make it an ideal spot to raise the livestock and also tends to attract a number of tourists to the area. For those visitors who don’t want to get their hands dirty in the actual farm, the kibbutz offer the Habokrim Restaurant which has all the theme with none of the mess. The eatery is located inside of a modern-built wood building, meant to look like a log construction from the 1800’s. Inside, diners can sidle up to the rustic tables and take in the Old West themed decorations. The menu offers hearty cowboy fare such as steaks, kebabs, and grilled lamb chops, all kosher and made from the fresh meat of the local livestock. The Habokrim Restaurant sits right next to a working horse corral so diners might even get to eat along with some actual Israeli cowboys, an experience most Wild West enthusiasts haven’t even considered."
5,Shah Cheragh,"Shiraz, Iran",Mirrors and glass shards cover every inch of this arrestingly beautiful mosque.,https://www.atlasobscura.com/places/shah-cheragh,"Visiting the Shah Cheragh mosque in Shiraz, Iran can be a somber and, for lack of a better word, religious experience, yet the interior of the central temple looks as though a disco ball exploded, covering nearly every surface with glittering shards of glass and mirror. The site began as a funereal monument with a mythic past. As the story goes, around 900 CE a wanderer caught site of a mysterious light shining off in the distance and went to investigate. He found a luminous grave that, when excavated, was found to hold the armored corpse of an important Muslim figure. Thus the site became a popular pilgrimage site for Shia Muslims, and a domed tomb structure was created to house the grave. The site was improved and expanded over the centuries with religious schools and other facilities being added to the complex. In the 14th century the site’s signature mirrorball decoration was ordered at the behest of Queen Tash Khātūn who wanted the mosque intensify any light a thousand times over, the name “Shah Cheragh” roughly translating to “King of the Light” in Persian. Despite being damaged by human hands and natural disasters over the centuries, the mosque has been maintained and repaired and shines brightly even today. The increasingly sprawling site is still an extremely important pilgrimage location for Shia Muslims, however visitors of any faith are likely to marvel at the sheer beauty of this glassy wonder."
6,Badab-e Surt,"Orost, Iran",Iran's colorful terraces are a rare geological masterpiece.,https://www.atlasobscura.com/places/badab-e-surt,"Iridescent pools of water gather on beds of rust-colored travertine. The colorful puddles top each layer of rock at Iran’s Badab-e Surt, blanketing the naturally formed terraces and transforming them into an exquisite sight alight with fiery hues. The scenery is breathtaking. Badab-e Surt is a rare geological masterpiece, formed during the Pleistocene and Pliocene epochs. Only a handful of such places exist in the world. A similar natural wonder has already been lost. This site was crafted by nature after two different mineral hot springs spent thousands of years sending water bubbling down the mountain from over 6,000 feet above sea level. When the water cooled, it left behind its carbonate minerals in a jelly-like substance that eventually hardened to give the slope its current staircase shape. One of the hot springs spews salty water that’s said to have healing properties. Supposedly, it can cure ailments such as rheumatism and certain skin conditions. The other spring spurts a sour sediment full of oxide which gives the water its beautiful orange tint. The place gets its name from a combination of the Persian words for “gassed water” and the old name of the nearest village, which means “intensity.” When the light hits the terraces just right, it makes the puddles glow with the red, orange, and yellow tones found in the underlying rock. Reflections from the sky and clouds above will sometimes add swirls of blue and gray to the mix, creating a watercolor palette bursting with rich natural hues.  Badab-e Surt can be a bit tough to get to, though it’s a place worth seeking out nonetheless. It’s just shy of 60 miles from the city of Sari. The journey there requires winding along isolated roads and stretches of unpaved mountain passes."
7,The Ruins of Persepolis,"Fars Province, Iran","The palace of the King of Kings, burned by Alexander the Great.",https://www.atlasobscura.com/places/the-ruins-of-persepolis-fars-province-iran,"Persepolis was once the richest city on earth - the glittering capital of the Achaemenid Empire. At the heart of the city lay the royal palace - a wonder of gold and silver, ivory, and precious stones. From there, Xerxes planned his war against Greece - and the treasure of a vast empire piled up in the store-rooms. In 330 BCE, Persepolis was captured by Alexander the Great. Before he left the city, he ordered the palace burned to the ground - whether through drunken malice or sober calculation, it is impossible to be sure. Today, the haunting, spectacular ruins of Persepolis reveal both the glory of the Achaemenid Empire, and the abruptness of its passing. The palace is still marked by Alexander’s fire: three feet of ash covered the floor in some places when it was first excavated - and many of the columns are still visibly scarred by those flames which burned over two thousand years ago."
8,Nasir al-Mulk Mosque,"Shiraz, Iran","A spectacular rainbow of stained glass makes the ""Pink Mosque"" one of the most beautiful in Iran.",https://www.atlasobscura.com/places/nasir-al-mulk-mosque,"Shiraz is one of the oldest Iranian cities, with a vibrant culture of art and craftsmanship and a rich history, both of which are on spectacular display at the Nasir al-Mulk Mosque, one of the most beautiful mosques in Iran. With dazzling stained glass, thousands of painted tiles on the ceiling and Persian rugs covering the floor, this place of worship is a gorgeous rainbow of color in every direction, like stepping into a kaleidoscope. Inside the mosque is an open courtyard with a rectangular pool in the center, surrounded by flowers. The building’s facade features dozens of arabesque arches, adding to the beauty of the light show from the stained glass. Nasir al-Mulk Mosque was constructed between 1876 and 1888, during the Qajar dynasty, which ruled Iran from 1785 to 1925. It has been dubbed the “Pink Mosque” due to the plethora of pink-colored tiles blanketing the ceiling. The best time to visit the mosque is in the early morning, when the sun reflects the stained glass patterns onto the floor."
9,Yakhchāls,"Meybod, Iran",Ancient structures used to make and preserve ice in the deserts of Persia.,https://www.atlasobscura.com/places/yakhchals,"Though they look like giant clay beehives, these structures in the deserts of Persia were used to make something much more needed and much harder to come by there than honey in ancient times: ice. Yakhchāls, ancient evaporation coolers, came into being around 400 BC. The giant conical structures allowed ice to be made and collected during the colder months and used throughout the year for things like preserving food and making faloodeh, a traditional Persian frozen dessert made with thin noodles and semi-frozen syrup. Different design features kept different yakhchāls cool, from spiral structures to wind towers and vents. Some yakhchāls had holes near the bottom, to keep cool air flowing into the vast underground portion of the structure where the ice was made and kept, and holes near the top through which hot air would be funneled out. Walls were often built to keep the water shaded as it was channeled in to the yakhchāls so it would freeze faster. Yakhchāls also served as places to store ice that was brought down from nearby mountains and often food as well. The extremely thick waterproof and heat resistant walls were made of a special mixture of sand, clay, egg whites, lime, goat hair, and ash called sarooj. Many of these monuments to ancient Persian ingenuity are still around today, hundreds of years later. One of the easiest to find is the one near the Narin Castle in Meybod, Iran, but there are also some in Iranian cities like Yazd and Kerman."
10,Alamut Castle,"Roudbar Alamout, Iran",This ruined fortress was the stronghold for a persecuted medieval leader and his infamous Assassins.,https://www.atlasobscura.com/places/alamut-castle,"Alamut Castle was originally built in the ninth century at an elevation over 6,800 feet. It was constructed in such a way that it only had one passable entrance that wound its way around the cliff, making the fortress difficult to conquer. But in 1090 A.D., a man named Hassan-i Sabbah was able to do just that. Hassan was an Ismaili Shia, which was a sect of Islam that faced heavy persecution from the region’s ruling leader. He rallied supporters as he hid within the valleys of Alamut. Eventually, he and his followers were able to concoct a plan that let them take over the fortress without spilling a single drop of blood (Hassan supposedly even paid the ousted ruler for the site). The fortress became a stronghold for him and his followers, who came to be referred to as his Assassins. They updated the castle’s irrigation and strengthened its defenses. And, perhaps most notably, they built an exquisite library full of literature about astronomy, math, philosophy, and even alchemy. Hassan created his own state, using the other fortresses scattered throughout the remote mountains and valleys as bases. He and his followers did more than just strengthen their strategic hideouts: They were also accomplished killers. The Assassins used their skills against the rulers of the Seljuk Empire who had been persecuting their sect. However, they also turned their attention beyond northern Iran and faced foreign enemies such as Crusaders. They were meticulous in killing the targeted individual, attempting to do so without any additional casualties. They cultivated their reputation by slaying victims in public, often in mosques. Their weapon of choice is said to have been a dagger. Mongolian invaders conquered the castle in the 13th century. They demolished the fortress and burned most of the rare contents that had been safeguarded in its library. But the stories of the Assassin’s fortress still live on. The most prominent historical fallacy was spread by Marco Polo in his stories about an “Old Man of the Mountains.” According to his accounts, devotees were drugged to simulate dying and then left to awaken in a secret garden where wine flowed and feasts were served by virgins. When they later awoke, there they were informed that if they wished to return to the paradise they had enjoyed, it would be at Hassan’s discretion and that they must therefore follow his orders directly. The site is a spectacular and sometimes hair-raising four hour’s drive through the mountains from Qazvin and located near the village of Gazorkhan. The walk up to Alamut is quite hard, but the views from the fortress are quite something. Archaeologists have restored the castle and there are explanatory signs in both English and Farsi."
